ddot_r total instruction_count: 40
Avg current: 301
Instr	Op	Line
Load	[	1
Load	[	1
Store	=	3
Load	=	3
Load	[	4
Store	=	4
Load	=	4
Load	[	5
Store	=	5
Load	=	5
Store	=	9
Load	=	9
Jump	for	11
Store	=	11
Load	=	11
Load	<	11
Cmp	<	11
Load	<	11
Load	++	11
Add	++	11
Store	++	11
Jump	for	11
Store	=	11
Load	=	11
Load	<	11
Cmp	<	11
Load	<	11
Load	++	11
Add	++	11
Store	++	11
Store	=	13
Load	=	13
Load	+	13
Add	+	13
Load	+	13
Load	[	13
Load	*	13
Mul	*	13
Load	*	13
Load	[	13
